"label","labelO","labelCi"
"A passeggio lungo il fiume","Indirizzo della Sede di: Deposito pleistocenico della Polledrara di Cecanibbio","Roma"
"Apertura Straordinaria del Complesso Monumentale del San Michele","Indirizzo della Sede di: Direzione Generale Archeologia, Belle Arti e Paesaggio","Roma"
"16 dicembre 2021, Complesso monumentale del San Michele | Direzione generale Archivi","Indirizzo della Sede di: Direzione Generale Archivi","Roma"
"16 dicembre 2021 - Complesso monumentale del San Michele - Direzione generale Archivi","Indirizzo della Sede di: Direzione Generale Archivi","Roma"
"3/12/2020 GIORNATA INTERNAZIONALE DEI DIRITTI DELLE PERSONE CON DISABILITÀ","Indirizzo della Sede di: Direzione Generale Educazione, ricerca e istituti culturali","Roma"
"APERTURA dei MUSEI","Indirizzo della Sede di: Direzione Generale Musei","Roma"
"Alla scoperta dello stile LIBERTY in Italia con il massimo esperto in materia","Indirizzo della Sede di: Direzione Generale Organizzazione","Anzio"
"APERTURA MUSEI FESTA DI OGNISSANTI","Indirizzo della Sede di: Direzione Regionale Musei Basilicata","Matera"
"Amabili Frammenti: le riggiole nella storia della fabbrica delle ville","Indirizzo della Sede di: Direzione Regionale Musei Campania","Torre del Greco"
"Apertura straordinaria della Cappella di San Giuseppe","Indirizzo della Sede di: Direzione Regionale Musei Campania","Sala Consilina"
"Alla scoperta dell'Abbazia di San Pietro in Modena","Indirizzo della Sede di: Direzione Regionale Musei Emilia Romagna","Modena"
"Apertura straordinaria del Monastero di S. Maria in Valle/ Tempietto Longobardo","Indirizzo della Sede di: Direzione Regionale Musei Friuli Venezia Giulia","Cividale del Friuli"
"Apertura straordinaria sabato 25 settembre ore 15.30 - 18.30 Visita al museo e alla mostra Il paesaggio prenestino. Il territorio diocesano, insediamenti e spiritualità. Dalla Via Prenestina …a San Vito Romano e Pisoniano","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Palestrina"
"Alla scoperta delle antiche vestigia della Via Salaria romana nella Sabina Tiberina","Indirizzo della Sede di: Direzione Regionale Musei Lazio","Roma"
"Apertura Chiesa di San Pantaleo: “I lapicidi da Cenova: tracce di bellezza scolpita in Valle Arroscia”_Copia","Indirizzo della Sede di: Direzione Regionale Musei Liguria","Ranzo"
"Alla scoperta dei tesori di Taggia","Indirizzo della Sede di: Direzione Regionale Musei Liguria","Taggia"
"Apertura Chiesa di San Pantaleo: “I lapicidi da Cenova: tracce di bellezza scolpita in Valle Arroscia”","Indirizzo della Sede di: Direzione Regionale Musei Liguria","Ranzo"
"Andar per Cartiere","Indirizzo della Sede di: Direzione Regionale Musei Liguria","Mele"
"Apertura serale straordinaria della mostra “Disgregazione e unità. Solcando la misura rinascimentale di Urbino”,","Indirizzo della Sede di: Direzione Regionale Musei Marche","Pesaro"
"Apertura straordinaria del Museo dei Misteri di Campobasso","Indirizzo della Sede di: Direzione Regionale Musei Molise","Campobasso"
"altro","Indirizzo della Sede di: Direzione Regionale Musei Piemonte","Torino"
"apertura straordinaria","Indirizzo della Sede di: Direzione Regionale Musei Piemonte","Casalino"
"apertura straordinaria_Copia","Indirizzo della Sede di: Direzione Regionale Musei Piemonte","Casalino"
"animazione in costume","Indirizzo della Sede di: Direzione Regionale Musei Piemonte","Chatillon"
"Alla scoperta di MUSeCo","Indirizzo della Sede di: Direzione Regionale Musei Puglia","Conversano"
"Apertura serale: concerto “Domenico Carella tra antichi colori e giovani suoni” a cura dell’ensemble orchestra giovanile della valle d’Itria","Indirizzo della Sede di: Direzione Regionale Musei Puglia","Martina Franca"
"Apertura straordinaria diurna: concerto “Ragione e passione nella musica antica”, a cura della fondazione Paolo Grassi","Indirizzo della Sede di: Direzione Regionale Musei Puglia","Martina Franca"
"5.000 anni fa Su Coddu/Canelles a Selargius. La prima età del rame in un villaggio preistorico della Sardegna","Indirizzo della Sede di: Direzione Regionale Musei Sardegna","Selargius"
"4° Festival dantescso - Toscana","Indirizzo della Sede di: Direzione Regionale Musei Toscana","Castelfiorentino"
"Alla scoperta della Tridentum romana","Indirizzo della Sede di: Direzione Regionale Musei Veneto","Trento"
"A scuola con gli antichi Romani","Indirizzo della Sede di: Direzione regionale Musei Lombardia","Gavardo"
"Alla scoperta di Villa Visconti Venosta","Indirizzo della Sede di: Direzione regionale Musei Lombardia","Grosio"
"Apertura straordinaria San Leonardo al Lago","Indirizzo della Sede di: Eremo di San Leonardo al Lago","Monteriggioni"
"Aliti di storia","Indirizzo della Sede di: Forte di Gavi","Gavi"
"Apertura straordinaria","Indirizzo della Sede di: Forte di Gavi","Gavi"
"Anime... nel mezzo di...","Indirizzo della Sede di: Fortezza Firmafede","Sarzana"
"Antica Roma. Le tecnologie che hanno reso grande un Impero","Indirizzo della Sede di: Fortezza Firmafede","Sarzana"
"Antica Roma. Le tecnologie che hanno reso grande un Impero_Copia","Indirizzo della Sede di: Fortezza Firmafede","Sarzana"
"Apertura straordinaria dalle 19.00 alle 22.00 alla Galleria Franchetti alla Ca' d'Oro: visita guidata alla mostra Dysfunctional e alle 21 Alberto Toso Fei e i suoi racconti","Indirizzo della Sede di: Galleria Giorgio Franchetti alla Ca' d'Oro","Venezia"
"Apertura serale della Galleria Nazionale d'Arte Moderna e Contemporanea","Indirizzo della Sede di: Galleria Nazionale d'Arte Moderna e Contemporanea","Roma"
"Antonio Rovaldi. Il suono del becco del picchio","Indirizzo della Sede di: Galleria d'arte moderna e contemporanea di Bergamo - GAMeC","Bergamo"
"A(r)marsi?","Indirizzo della Sede di: Galleria d'arte moderna e contemporanea di Bergamo - GAMeC","Bergamo"
"3 dicembre Giornata Internazionale dei diritti delle persone con disabilità","Indirizzo della Sede di: Galleria dell'Accademia di Firenze","Firenze"
"#viaggioinitalia e #paesaggioitaliano  Tra le antiche carte - Viaggio della Galleria nazionale di Cosenza","Indirizzo della Sede di: Galleria nazionale di Cosenza","Cosenza"
"APERTURA STRAORDINARIA / GALLERIA NAZIONALE DI PALAZZO SPINOLA","Indirizzo della Sede di: Gallerie Nazionali di Palazzo Spinola","Genova"
"3 DICEMBRE 2020 / GIORNATA INTERNAZIONALE PER I DIRITTI DELLE PERSONE CON DISABILITA'","Indirizzo della Sede di: Gallerie Nazionali di Palazzo Spinola","Genova"
"21 maggio 2020: riapre il Giardino di Boboli!","Indirizzo della Sede di: Gallerie degli Uffizi - Giardino di Boboli","Firenze"
"Apertura serale degli Uffizi con ingresso a un euro ","Indirizzo della Sede di: Gallerie degli Uffizi – Gli Uffizi","Firenze"
"3 giugno: riaprono gli Uffizi!","Indirizzo della Sede di: Gallerie degli Uffizi – Gli Uffizi","Firenze"
"Andrea Orcagna. Il Trittico della Pentecoste. Storia e Restauro","Indirizzo della Sede di: Gallerie degli Uffizi – Gli Uffizi","Firenze"
"ANISH KAPOOR ALLE GALLERIE DELL'ACCADEMIA DI VENEZIA","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"1 MAGGIO 2020 TRA LAVORO E PASSIONE ALEL GALLERIE DELL’ACCADEMIA DI VENEZIA","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"Abbracci culturali - Distanti in Armonia alle Grotte di Catullo","Indirizzo della Sede di: Grotte di Catullo e Museo Archeologico di Sirmione","Sirmione"
"1° Maggio al Museo delle Tradizioni","Indirizzo della Sede di: Istituto Centrale per il patrimonio immateriale","Roma"
"3 giugno 2020. L'Istituto Centrale per il Patrimonio Immateriale riapre al pubblico.","Indirizzo della Sede di: Istituto Centrale per il patrimonio immateriale","Roma"
"A partire dall’arrivo. Incontri / proiezioni / musiche / letture","Indirizzo della Sede di: Istituto Centrale per il patrimonio immateriale","Roma"
"#viateulada66","Indirizzo della Sede di: Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"Apertura serale straordinaria a Le Castella","Indirizzo della Sede di: Le Castella","Isola di Capo Rizzuto"
"Apertura serale  straordinaria a Le Castella","Indirizzo della Sede di: Le Castella","Isola di Capo Rizzuto"
"#viaggioinitalia e #paesaggioitaliano Le Castella tra antichi portolani e moderne carte nautiche  ","Indirizzo della Sede di: Le Castella","Isola di Capo Rizzuto"
"2 minuti di MAMbo #iorestoacasa #smartMAMbo","Indirizzo della Sede di: MAMbo - Museo d'Arte Moderna di Bologna","Bologna"
"#VirtualMav4 | Pepper","Indirizzo della Sede di: MAV - Museo Archeologico Virtuale","Ercolano"
"Antonio TONO Zancanaro. Sia artista che hockeista che puntò su Brunalba","Indirizzo della Sede di: MUSA - Museo del sale","Cervia"
"Anno della cultura e del turismo Italia - Cina 2020","Indirizzo della Sede di: Ministero della cultura","Roma"
"1938-1945 la persecuzione degli ebrei in Italia. Documenti per la storia","Indirizzo della Sede di: Ministero della cultura","Roma"
"3/12/2021 GIORNATA INTERNAZIONALE DEI DIRITTI DELLE PERSONE CON DISABILITÀ","Indirizzo della Sede di: Ministero della cultura","Roma"
"Apertura al pubblico della Soprintendenza ABAP per le province di Parma e Piacenza","Indirizzo della Sede di: Ministero della cultura","Parma"
"Alla corte di Anna Carafa","Indirizzo della Sede di: Ministero della cultura","Napoli"
"Alla scoperta del Sito archeologico Su Palattu","Indirizzo della Sede di: Ministero della cultura","Padria"
"All'idea di quel metallo","Indirizzo della Sede di: Ministero della cultura","Bedollo"
"Apertura telegrafo ottico di Pastrengo","Indirizzo della Sede di: Ministero della cultura","Pastrengo"
"Apertura antico torcolo di Crero","Indirizzo della Sede di: Ministero della cultura","Torri del Benaco"
"All’aria aperta. L’igiene e l’ideologia del riciclo nella campagna toscana","Indirizzo della Sede di: Ministero della cultura","Pistoia"
"Alla scoperta della vera sardella di Cirò","Indirizzo della Sede di: Ministero della cultura","Cirò Marina"
"Al Centro del Restauro: un viaggio (senza zaino) tra arte e scienza. Visita per gli Insegnanti con il Direttore dei Laboratori di Restauro.","Indirizzo della Sede di: Ministero della cultura","Venaria Reale"
"Antico benessere","Indirizzo della Sede di: Ministero della cultura","Chieti"
"Al cospetto di Ercole","Indirizzo della Sede di: Ministero della cultura","Sulmona"
"A Fadilla coniuge carissima","Indirizzo della Sede di: Ministero della cultura","Roma"
"Alla scoperta della tradizione del marmo di Carrara","Indirizzo della Sede di: Ministero della cultura","Carrara"
"ALMA MATER - Mostra ""SENOLOGIA. Studi e rappresentazioni del seno nei secoli""","Indirizzo della Sede di: Ministero della cultura","Roma"
"A spasso con gli archeologi nel Parco di Tor Fiscale","Indirizzo della Sede di: Ministero della cultura","Roma"
"Apertura straordinaria del Sito archeologico di Forcona a Civita di Bagno  ","Indirizzo della Sede di: Ministero della cultura","L'Aquila"
"Apertura straordinaria dell'Area archeologica della Necropoli italica di Fossa  ","Indirizzo della Sede di: Ministero della cultura","Roma"
"21 luglio 1969 Cinquant’anni dallo sbarco sulla luna","Indirizzo della Sede di: Ministero della cultura","Roma"
"Alla scoperta del patrimonio intangibile di Burano: il merletto","Indirizzo della Sede di: Ministero della cultura","Venezia"
"Alla scoperta dell’idraulica della Laguna di Venezia","Indirizzo della Sede di: Ministero della cultura","Venezia"
"Al centro del mondo Campari","Indirizzo della Sede di: Ministero della cultura","Sesto San Giovanni"
"Apertura straordinaria dell'impianto termale principale di Grumentum e presentazione del progetto di ricerca della Sapienza a Grumentum","Indirizzo della Sede di: Ministero della cultura","Grumento Nova"
"Alla scoperta del Planetario","Indirizzo della Sede di: Ministero della cultura","Lumezzane"
"40 anni di cultura e mecenatismo","Indirizzo della Sede di: Ministero della cultura","Zogno"
"Apertura Straordinaria di Palazzo San Paolo a Novara, sede della Soprintendenza","Indirizzo della Sede di: Ministero della cultura","Novara"
"Apertura straordinaria del Mausoleo della Bela Rosin","Indirizzo della Sede di: Ministero della cultura","Torino"
"A B C del corpo","Indirizzo della Sede di: Ministero della cultura","Roma"
"All'ombra de' cipressi. Passato e futuro del Cimitero Storico dei Cappuccini di Tricase","Indirizzo della Sede di: Ministero della cultura","Tricase"
"Alle origini di Halloween – Attività per famiglie con rievocazione storica organizzata in collaborazione con l’Associazione Terra Taurina","Indirizzo della Sede di: Ministero della cultura","Roma"
"3 DICEMBRE 2019 - ""Libero accesso alla cultura""","Indirizzo della Sede di: Ministero della cultura","Udine"
"Amare l’Arte e l'Archeologia stando insieme ","Indirizzo della Sede di: Ministero della cultura","Sassari"
"Affidarsi alla letteratura per ritrovarsi","Indirizzo della Sede di: Ministero della cultura","Torino"
"Apertura straordinaria dei laboratori di restauro dell’Opificio delle Pietre Dure","Indirizzo della Sede di: Ministero della cultura","Roma"
"#viaggioinitalia: a spasso per la Puglia","Indirizzo della Sede di: Ministero della cultura","Roma"
"Annullato O Tempo di festival al Museo Nazionale Romano e sostegno alla mostra virtuale Eccellenze Italiane di Julian Hargreaves","Indirizzo della Sede di: Ministero della cultura","Roma"
"Antico insediamento di età storica a Fratte #paesaggioitaliano #artyouready","Indirizzo della Sede di: Ministero della cultura","Roma"
"Albergo dell’Europa #viaggioinitalia #artyouready","Indirizzo della Sede di: Ministero della cultura","Roma"
"Amalfi #viaggioinitalia #estateitaliana #artyouready","Indirizzo della Sede di: Ministero della cultura","Roma"
"A SCUOLA CON L'ARCHEOLOGIA #iorestoacasa ","Indirizzo della Sede di: Ministero della cultura","Roma"
"Abitato fortificato IV sec. a.C. #AmbienteMW","Indirizzo della Sede di: Ministero della cultura","Roma"
"Acquedotto medievale. #TecnologiaMW","Indirizzo della Sede di: Ministero della cultura","Roma"
"Andiamo al Parco!","Indirizzo della Sede di: Ministero della cultura","Roma"
"11 OTTOBRE 2020 - DOMENICA DI CARTA","Indirizzo della Sede di: Ministero della cultura","Roma"
"Alla scoperta di Palazzo Economo. Le collezioni di arte applicata","Indirizzo della Sede di: Ministero della cultura","Roma"
"Apertura straordinaria dell'Archivio di Stato di Macerata_Copia","Indirizzo della Sede di: Ministero della cultura","Roma"
"Apertura dei laboratori di restauro dell’Opificio delle Pietre Dure","Indirizzo della Sede di: Ministero della cultura","Roma"
"Apertura straordinaria dell'area archeologica di Montegrotto Terme, viale Stazione/via degli Scavi","Indirizzo della Sede di: Montegrotto Terme, area archeologica di viale Stazione / via degli Scavi","Montegrotto Terme"
"3D Model - Madonna delle Concanelle","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"3D Presepe, Saturnino Gatti","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"3D Model Sant'Antonio Abate, Saturnino Gatti","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"3D Model - San Pietro Celestino  ","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"3D Model Madonna in trono col Bambino","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"3D Model Madonna con il Bambino","Indirizzo della Sede di: MuNDA - Museo nazionale d'Abruzzo","L'Aquila"
"Animali dalla A alla Z. Una mostra dedicata ai bambini","Indirizzo della Sede di: Musei Reali","Torino"
"Al Museo per gioco","Indirizzo della Sede di: Musei Reali","Torino"
"A tu per tu con Leonardo","Indirizzo della Sede di: Musei Reali - Biblioteca Reale","Torino"
"30 maggio 1920 - 30 maggio 2020 - Il Museo Civico d'Arte Industriale e Galleria Davia Bargellini di Bologna compie 100 anni ","Indirizzo della Sede di: Musei civici d'arte antica -  Museo d'arte industriale ""Davia Bargellini""","Bologna"
