"o","labelOO"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20592","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20597","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20600","Sede di Direzione regionale Musei Lombardia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20601","Sede di Archivio di Stato di Piacenza"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20623","Sede di Gallerie dell'Accademia di Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20629","Sede di Archivio di Stato di Reggio Calabria. Sezione di Palmi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20635","Sede di Area archeologica di Nervia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20636","Sede di Archivio di Stato di Enna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20637","Sede di Villa romana del Varignano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20646","Sede di Gallerie degli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20654","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20655","Sede di Archivio di Stato di Perugia. Sezione di Assisi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20658","Sede di Archivio di Stato di Perugia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20677","Sede di Archivio di Stato di Bari. Sezione di Trani "
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20686","Sede di Museo Storico e il Parco del Castello di Miramare"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20687","Sede di Archivio di Stato di Avellino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20688","Sede di Biblioteca Nazionale  Sagarriga Visconti Volpi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20694","Sede di Parco archeologico di Cerveteri e Tarquinia - Museo archeologico nazionale di Tarquinia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20707","Sede di Archivio di Stato di Roma"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20708","Sede di Museo diocesano Mons. Aurelio Sorrentino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20709","Sede di Gallerie Nazionali di Palazzo Spinola"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20710","Sede di Complesso Monumentale della Pilotta"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20711","Sede di Soprintendenza Archivistica e Bibliografica della Calabria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20716","Sede di Ex Regio Museo archeologico"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20726","Sede di Museo nazionale della Certosa monumentale di Calci"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20729","Sede di Fortezza di Santa Barbara"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20731","Sede di Museo archeologico di Eboli e della Media Valle del Sele e Aree archeologiche delle fornaci SS. Cosma e Damiano e della Villa Romana di Paterno"
