,topic,lat,long
235,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100164,40.545155,15.638879
236,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100165,40.14451,16.289541
237,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100169,40.66861,15.918926
238,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101681,39.986706,16.601433
239,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101684,39.253426,16.700804
240,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101689,39.340267,16.445072
241,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101709,39.125797,16.412659
242,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101712,39.02053,16.582119
243,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101728,38.481617,16.45336
244,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101739,38.29465,15.983362
245,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101743,38.355137,15.855886
246,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101755,38.579308,15.936813
247,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101764,41.009148,14.778116
248,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101765,40.932877,15.32283
249,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101766,40.98876,15.476971
250,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101767,41.152767,15.089351
251,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101768,41.15252,15.08758
252,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101769,41.153164,15.089247
253,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101772,41.09876,15.00237
254,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101775,41.067425,15.055608
255,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101777,41.050262,15.423087
256,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101780,40.879223,14.63313
257,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101781,40.937794,14.740747
258,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101784,40.91626,14.998611
259,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101785,40.951767,15.162623
260,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101788,41.05958,14.555621
261,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101791,41.130447,14.781174
262,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101792,41.105007,14.823051
