,p,predicate
368,https://w3id.org/arco/ontology/immovable-property/hasDesign,18627
369,https://w3id.org/arco/ontology/construction-description/hasDesign,18627
370,https://w3id.org/arco/ontology/context-description/hasDetectionMethod,18458
371,http://dati.beniculturali.it/cis/ISILidentifier,18218
372,https://w3id.org/arco/ontology/context-description/hasDerivatedWorkType,18040
373,https://w3id.org/arco/ontology/context-description/hasChangeOfAvailabilityType,17562
374,https://w3id.org/arco/ontology/context-description/hasInterventionType,17522
375,https://w3id.org/arco/ontology/natural-specimen-description/hasIdentificationInTime,17266
376,https://w3id.org/arco/ontology/immovable-property/hasInteriorSubdivision,17154
377,https://w3id.org/arco/ontology/construction-description/hasInteriorSubdivision,17154
378,http://rdfs.org/ns/void#triples,16542
379,https://w3id.org/arco/ontology/context-description/hasChangeOfAvailability,16387
380,https://w3id.org/arco/ontology/context-description/address,16313
381,http://dati.beniculturali.it/cis/hasCISNameInTime,16287
382,https://w3id.org/arco/ontology/context-description/archivalRecordSetTitle,16193
383,https://w3id.org/arco/ontology/context-description/uncertainAuthorshipAttribution,16143
384,https://w3id.org/arco/ontology/context-description/isKeptIn,16103
385,https://w3id.org/arco/ontology/context-description/isLocatedIn,15954
386,https://w3id.org/arco/ontology/construction-description/numberOfFloors,15866
387,https://w3id.org/arco/ontology/immovable-property/numberOfFloors,15866
388,http://rdfs.org/ns/void#propertyPartition,15825
389,http://rdfs.org/ns/void#property,15825
390,https://w3id.org/arco/ontology/location/hasToponymInTime,15445
391,https://w3id.org/arco/ontology/immovable-property/refersToFloorOrLevel,15430
392,https://w3id.org/arco/ontology/construction-description/refersToFloorOrLevel,15430
393,https://w3id.org/arco/ontology/denotative-description/hasFiligree,15397
394,https://w3id.org/arco/ontology/context-description/hasReproduction,15277
395,https://w3id.org/arco/ontology/context-description/collectionUnitIdentifier,15265
396,https://w3id.org/arco/ontology/context-description/hasSurveyMethod,14573
397,https://w3id.org/arco/ontology/natural-specimen-description/hasLabel,14551
398,https://w3id.org/italia/onto/RO/forEntity,14426
399,https://w3id.org/italia/onto/RO/holdsRoleInTime,14426
400,https://w3id.org/arco/ontology/core/keyword,14072
401,https://w3id.org/arco/ontology/context-description/hasUseFunction,14029
402,https://w3id.org/arco/ontology/natural-specimen-description/hasDirectHigherRank,13931
403,https://w3id.org/italia/onto/CLV/hasHigherRank,13627
404,https://w3id.org/arco/ontology/arco/RVERidentifier,13521
405,https://w3id.org/arco/ontology/natural-specimen-description/bodyTranscript,13495
406,https://w3id.org/arco/ontology/context-description/hasReproductionPosition,13097
407,https://w3id.org/arco/ontology/construction-description/hasRoofStructure,12893
408,https://w3id.org/arco/ontology/immovable-property/hasRoofStructure,12868
409,https://w3id.org/arco/ontology/context-description/isResponsibilityFor,12781
410,https://w3id.org/arco/ontology/denotative-description/hasLegibility,12764
411,https://w3id.org/italia/onto/SM/telephoneNumber,12628
412,https://w3id.org/arco/ontology/context-description/hasUser,12359
413,https://w3id.org/arco/ontology/core/involvesAgent,12164
414,https://w3id.org/arco/ontology/context-description/hasCoinIssuance,12063
415,https://w3id.org/arco/ontology/context-description/hasIssuer,11663
416,https://w3id.org/italia/onto/SM/url,11311
417,https://w3id.org/arco/ontology/context-description/hasSurveyMotivation,11192
418,https://w3id.org/arco/ontology/immovable-property/significantIconographicInformation,11142
419,https://w3id.org/arco/ontology/construction-description/significantIconographicInformation,11142
420,https://w3id.org/arco/ontology/construction-description/mainFacade,11032
421,https://w3id.org/arco/ontology/immovable-property/numberOfFlights,11015
422,https://w3id.org/arco/ontology/construction-description/numberOfFlights,11015
423,https://w3id.org/arco/ontology/context-description/isMemberOfNumismaticSeriesOf,11005
424,https://w3id.org/arco/ontology/context-description/isCoinMemberOf,11005
425,https://w3id.org/arco/ontology/denotative-description/hasDesignationInTimeType,10864
426,https://w3id.org/arco/ontology/location/pointType,10751
427,https://w3id.org/arco/ontology/location/hasClericalAdministrativeArea,10661
428,https://w3id.org/italia/onto/CLV/streetNumber,10613
429,https://w3id.org/italia/onto/CLV/hasNumber,10611
430,https://w3id.org/arco/ontology/denotative-description/storageConditions,10369
431,https://w3id.org/arco/ontology/context-description/framework,10325
